"id_national","month","andeb","anfin","tmm","tnm","txm","rrtm"
46565111,2,1961,1990,13.3,8.4,18.1,18.1
46565111,3,1961,1990,15.1,10.4,19.7,23.2
46565111,4,1961,1990,17.7,13.6,21.8,12.7
46565111,5,1961,1990,20.8,16.9,24.6,6.6
46565111,6,1961,1990,24,20.7,27.3,2.7
46565111,7,1961,1990,26.6,22.6,30.6,0.5
46565111,8,1961,1990,27.4,23.5,31.3,0.7
46565111,9,1961,1990,25.6,21.7,29.5,22.6
46565111,10,1961,1990,21.7,17.4,26,44.1
46565111,11,1961,1990,16.8,12.1,21.5,26.7
46565111,12,1961,1990,13,8.4,17.5,29.7
46565711,1,1961,1990,10.8,6.3,15.4,57.8
46565711,2,1961,1990,12.4,7.2,17.8,13.2
46565711,3,1961,1990,15.2,9.7,20.8,20.1
46565711,4,1961,1990,17.4,11.5,23.3,11.6
46565711,5,1961,1990,20.9,14.6,27.2,5.1
46565711,6,1961,1990,24.8,18.7,31,2.6
46565711,7,1961,1990,27.9,21.4,34.4,0.1
46565711,8,1961,1990,29.7,23.3,36.2,1.1
46565711,9,1961,1990,26.9,21.1,32.7,18.5
46565711,10,1961,1990,22.6,17.1,28.3,42.8
46565711,11,1961,1990,16.9,11.5,22.4,11.5
46565711,12,1961,1990,12.4,7.3,17.5,30.1
46565931,1,1961,1990,11.9,7,16.7,52.4
46565931,2,1961,1990,12.8,7.5,18.2,14.3
46565931,3,1961,1990,15.3,10.1,20.6,21
46565931,4,1961,1990,17.5,11.8,23.2,19.1
46565931,5,1961,1990,21.3,15.5,27.1,4.5
46565931,6,1961,1990,24.6,19.1,30.2,3.2
46565931,7,1961,1990,27.3,21.5,33.1,0.3
46565931,8,1961,1990,29.2,23.1,35.2,0.5
46565931,9,1961,1990,27,21.6,32.5,27.2
46565931,10,1961,1990,23.1,17.8,28.5,18.2
46565931,11,1961,1990,17.6,12.5,22.7,5.8
46565931,12,1961,1990,13.1,8.1,18.1,34.4
57070111,1,1961,1990,12.1,7.2,17.1,20.7
57070111,2,1961,1990,14.1,8.5,19.7,16.8
57070111,3,1961,1990,15.9,10.1,21.6,27.1
57070111,4,1961,1990,19.1,12.9,25.2,14.1
57070111,5,1961,1990,22.5,16.2,28.8,7
57070111,6,1961,1990,26.4,19.7,33.1,1.2
57070111,7,1961,1990,29,21.9,36,0.1
57070111,8,1961,1990,29.7,22.9,36.4,0.6
57070111,9,1961,1990,26.9,21,32.8,16.2
57070111,10,1961,1990,22.9,17.2,28.4,31.6
57070111,11,1961,1990,17.3,12.3,22.3,19.7
57070111,12,1961,1990,13.3,8.3,18.3,28.3
57070211,1,1961,1990,12.5,8.9,15.9,28
57070211,2,1961,1990,13.5,9.2,17.5,20.5
57070211,3,1961,1990,15.2,11,19.5,19.6
57070211,4,1961,1990,17.8,13.4,22,13.3
57070211,5,1961,1990,21,16.4,25.5,5
57070211,6,1961,1990,24.4,19.7,28.6,1.4
57070211,7,1961,1990,26.9,21.9,31.9,0.3
57070211,8,1961,1990,27.7,22.9,32.3,1.5
57070211,9,1961,1990,25.9,21.6,29.9,21.2
57070211,10,1961,1990,22.3,18.2,26,53.5
57070211,11,1961,1990,17.3,13.7,21.3,32.6
57070211,12,1961,1990,13.7,10.2,17.1,36
57070621,1,1961,1990,12.2,7.3,17.2,22
57070621,2,1961,1990,13.3,8.2,18.5,17.3
57070621,3,1961,1990,15.7,11.1,20.3,24.2
57070621,4,1961,1990,17.4,13.1,21.8,10.6
57070621,5,1961,1990,20.7,16.9,24.5,6.2
57070621,6,1961,1990,24,20.6,27.5,1
57070621,7,1961,1990,26.4,22.7,30.2,0.2
57070621,8,1961,1990,27.9,23.8,32,2.4
57070621,9,1961,1990,27.5,23.7,31.2,26.6
57070621,10,1961,1990,24.5,19.8,29.1,43.1
57070621,11,1961,1990,18.6,13.8,23.4,34.7
57070621,12,1961,1990,13.2,8.1,18.4,50.6
57070831,1,1961,1990,12.4,7.2,17.7,22.1
57070831,2,1961,1990,13.7,8,19.4,17.5
57070831,3,1961,1990,15.7,10.1,21.4,27.6
57070831,4,1961,1990,18.9,13,24.9,9.6
57070831,5,1961,1990,22,16.2,27.9,6.1
57070831,6,1961,1990,25.8,20.2,31.5,0.3
57070831,7,1961,1990,28,22.1,33.9,0.1
57070831,8,1961,1990,29.1,23.3,34.9,1.1
57070831,9,1961,1990,27.4,22.2,32.7,17.1
57070831,10,1961,1990,23.6,17.8,29.5,33.4
57070831,11,1961,1990,18.1,12.2,24,33.7
57070831,12,1961,1990,13.8,8.2,19.5,29.1
57272111,1,1961,1990,11.3,6.8,15.8,19.3
